,title,address.street-address,name,address,distance
114,Museo Thyssen-Bornemisza (Palacio de Vistahermosa),PASEO PRADO 8,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,114.54404290311356
115,Nuevos Ministerios,CALLE AGUSTIN DE BETANCOURT 4,134 - Agustín de Betancourt,Calle María de Guzmán nº 58,184.811921342966
116,Observatorio Astronómico,CALLE ALFONSO XII 3,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,52.87382108620681
117,Oficinas para Ramón López-Rumayor Lombera,Calle CONCEPCION ARENAL 1,2 - Miguel Moya,Calle Miguel Moya nº 1,98.18404280502678
118,Oficinas para Vicente Patuel,Calle CHINCHILLA 9,210 - Tres Cruces,Calle Tres Cruces nº 7,130.3493458595259
119,Palacio de Altamira (Instituto Europeo del Diseño),Calle FLOR ALTA 8,16 - San Bernardo,Calle San Bernardo nº 22,147.28646964244845
120,Palacio de Amboage (actual sede de la Embajada de Italia),CALLE LAGASCA 98,88 - Embajada de Italia,Calle Velázquez nº 75,116.23927591359198
121,Palacio de Biblioteca y Museos Nacionales,CALLE SERRANO 13,95 - Villanueva,Calle Claudio Coello nº 109,166.42451931603048
122,Palacio de Buena Vista (actual sede del Cuartel General del Ejército de Tierra),Calle ALCALÁ 51,19 - Prim,Calle Prim nº 2,177.68326397700855
123,"Palacio de Comunicaciones (Palacio de Cibeles, Ayuntamiento de Madrid)",PLAZA CIBELES 1,86 - Cibeles,Plaza Cibeles,136.0013866245909
124,Palacio de Fernán Nuñez (Fundación de los Ferrocarriles Españoles),CALLE SANTA ISABEL 44,42 - Santa Isabel,Calle Atocha nº 95,166.16154519612928
125,Palacio de la Música,Calle ABADA 14,2 - Miguel Moya,Calle Miguel Moya nº 1,153.20739441434594
126,Palacio de la Prensa,PLAZA CALLAO 4,2 - Miguel Moya,Calle Miguel Moya nº 1,90.07669661474611
127,Palacio de Linares (actual Casa de América),PLAZA CIBELES 1,86 - Cibeles,Plaza Cibeles,136.0013866245909
128,Palacio de Liria,CALLE PRINCESA 20,14 - Ventura Rodríguez,Calle Duque de Liria,125.14420776941319
129,Palacio de Longoria (sede de la Sociedad General de Autores y Editores),Calle FERNANDO VI 4,7 - Hortaleza,Calle Hortaleza nº 75,102.7053415607869
130,Palacio de los Duques de Santoña (Cámara de Comercio),Calle HUERTAS 13,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,52.61565276666564
131,Palacio de Santa Cruz (sede actual del Ministerio de Asuntos Exteriores),PLAZA PROVINCIA 1,32 - Plaza de la Provincia,Plaza de la Provincia nº 1,42.15250228124884
132,Palacio del Duque de Uceda o Palacio de Consejos,CALLE MAYOR 79,166 - Segovia 26,Calle Segovia nº 26,146.75244912882138
133,Palacio del marqués de Perales (Filmoteca Nacional),CALLE MAGDALENA 10,43 - Jesús y María,Calle Lavapiés nº 34,243.9522768352797
134,Palacio del Marqués de Salamanca,Paseo RECOLETOS 10,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,201.48336150897325
135,Palacio Real de El Pardo,CALLE MANUEL ALONSO 1,261 - Facultad Derecho,Avenida Complutense nº 23,9373.953950537156
136,Palacio Real de Madrid,Calle BAILEN ,36 - Plaza Ramales,Plaza de Ramales,305.2731447200993
137,Parque de El Retiro,PLAZA INDEPENDENCIA 7,60 - Plaza de la Independencia,Plaza de la Independencia nº 6,57.21596934053364
138,Parroquia de Nuestra Señora del Tránsito,CARRETERA CANILLAS 40,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,2133.531418627982
139,Parroquia de San Pedro Advincula,CALLE SIERRA GORDA 5,221 - Pavones,Calle Hacienda de Pavones nº 342,2746.1756587101117
140,Parroquia de San Pedro de los Dominicos,AVENIDA BURGOS 204,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3871.597077883886
141,Parroquia de Santa Bárbara,CALLE GENERAL CASTA&amp;Ntilde;OS 2,26 - Plaza de las Salesas,Plaza de las Salesas 7,65.81069966102987
142,Parroquia Nuestra Señora de Guadalupe,CALLE PUERTO RICO 1,197 - Parque Berlín,Avenida de Concha Espina nº 34,388.4696612695788
143,Parroquia San Millán y San Cayetano,Calle EMBAJADORES 15,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,161.94414526056593
144,Plaza de Toros de Las Ventas,Calle ALCALÁ 237,187 - Alcalá-Ventas,Calle Alejandro González nº 1,240.23745204541308
145,Plaza Mayor,Plaza MAYOR ,31 - Calle Mayor,Calle Mayor nº 20,120.61488517817304
146,Puerta del Sol,PLAZA PUERTA DEL SOL 1,1a - Puerta del Sol A,Puerta del Sol nº 1,59.62908277345965
147,Real Academia de Bellas Artes de San Fernando,Calle ALCALÁ 13,1b - Puerta del Sol B,Puerta del Sol nº 1,117.12715766912605
148,Real Academia de la Historia,CALLE LEON 21,41 - Antón Martín,Calle Atocha nº 54,142.3057294628916
149,Real Academia Española de la Lengua,CALLE FELIPE IV 4,65 - Antonio Maura,Calle Antonio Maura nº 15,244.0031957952115
150,Real Basílica de San Francisco el Grande,Gran Vía SAN FRANCISCO 19,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,78.7910818956829
151,Real Casa de Correos,PLAZA PUERTA DEL SOL 7,33 - Carretas,Calle Carretas nº 8,80.01275282674418
152,Real Casa de la Aduana (actual sede del Ministerio de Hacienda),CALLE ALCALA 5,1a - Puerta del Sol A,Puerta del Sol nº 1,11.348866735534074
153,Real Colegiata de San Isidro,CALLE TOLEDO 37,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,249.7172877593393
154,Real Jardín Botánico,PLAZA MURILLO 2,68 - Espalter,Calle Espalter nº 1,104.1743036154614
155,Real Monasterio de la Encarnación,Plaza ENCARNACION 1,30 - San Quintín,Calle Pavía nº 6,94.83213270029542
156,Reforma del antiguo edificio de Unión Eléctrica,CALLE GRAN VIA 4,28 - Sevilla,Calle Alcalá nº 27,155.53495066655827
157,Residencia de Estudiantes,CALLE PINAR 21,250 - Serrano 113,Calle Serrano nº 113B,223.46460871564554
158,Restos del Antiguo Palacio del Buen Retiro,CALLE FELIPE IV 1,68 - Espalter,Calle Espalter nº 1,311.86684034671276
159,Salón del Prado,Paseo PRADO ,68 - Espalter,Calle Espalter nº 1,309.52749885828825
160,Teatro Barceló,CALLE BARCELO 11,54 - Barceló,Calle Barceló nº 7,74.9566053641321
161,Teatro María Guerrero,Calle TAMAYO Y BAUS 4,26 - Plaza de las Salesas,Plaza de las Salesas 7,211.93389158062888
162,Teatro Real,PLAZA ISABEL II ,24 - Palacio de Oriente,Calle Carlos III nº 1,168.5507668651908
163,Teatro Valle-Inclán,CALLE VALENCIA 1,53 - Plaza de Lavapiés,Calle Valencia nº 1,42.01682423051408
164,Templo de Debod,CALLE FERRAZ 1,115 - Ferraz,Calle Evaristo San Miguel nº 2,149.34424950794747
165,Terminal T4,AEROPUERTO TERMINAL T-4 ,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,8368.936923524994
166,Torre Castelar,PASEO CASTELLANA 50,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43,140.71434256841872
167,Torre de Madrid,PLAZA ESPAÑA 18,116a - Plaza de España A,Calle Princesa nº 5,96.11286983020644
168,Torres Blancas,AVENIDA AMERICA 37,195 - Avenida de América 1,Calle Padre Indalecio Hernández nº 1,405.51724026857124
169,Tribunal Superior de Justicia,CALLE GENERAL CASTA&amp;Ntilde;OS 1,26 - Plaza de las Salesas,Plaza de las Salesas 7,97.18702466044573
170,Viaducto,CALLE BAILEN 12,166 - Segovia 26,Calle Segovia nº 26,85.19641893488681
171,Viviendas para Alejandro Santamaría,Calle GRAN VIA 56,23 - Santo Domingo,Plaza de Santo Domingo nº 1,156.3192300231152
172,Viviendas para el Conde Artaza,Calle CABALLERO DE GRACIA 11,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,153.91587784701784
173,Viviendas para el conde de Godó,Calle GRAN VIA 44,2 - Miguel Moya,Calle Miguel Moya nº 1,42.71303253545356
174,Viviendas para el Marqués de Cubas y Fontalba,Calle GONZALO JIMENEZ DE QUESADA 2,211 - Desengaño,Calle Desengaño nº 1,52.94478723403195
175,Viviendas para el Marqués de Cubas y Fontalba,Calle GONZALO JIMENEZ DE QUESADA 2,211 - Desengaño,Calle Desengaño nº 1,24.26649334801844
176,Viviendas para el Marqués de Cubas y Fontalba,Calle GRAN VIA 30,211 - Desengaño,Calle Desengaño nº 1,52.94478723403195
177,Viviendas para el Marqués de Cubas y Fontalba,Calle GRAN VIA 30,211 - Desengaño,Calle Desengaño nº 1,24.26649334801844
178,Viviendas para el marqués de Falces,Calle CONCEPCION ARENAL 2,2 - Miguel Moya,Calle Miguel Moya nº 1,140.5616408755852
179,Viviendas para el marqués de Urquijo,Calle GRAN VIA 6,28 - Sevilla,Calle Alcalá nº 27,163.75529876227134
180,Viviendas para el marqués de Villamayor de Santiago,Calle CABALLERO DE GRACIA 7,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,150.06533193588282
181,Viviendas para Fernando M. Vidales,Calle GRAN VIA 52,2 - Miguel Moya,Calle Miguel Moya nº 1,122.36688622600457
182,Viviendas para José María Escriña,Calle GRAN VIA 69,116b - Plaza de España B,Calle Princesa nº 5,100.03056984684953
183,Viviendas para José Pérez Pla,Calle FLOR BAJA 4,116b - Plaza de España B,Calle Princesa nº 5,159.9797495213874
184,Viviendas para Juan Giralt de la Porta,Calle CABALLERO DE GRACIA 17,28 - Sevilla,Calle Alcalá nº 27,120.26760319563036
185,Viviendas para la Sociedad Inmobiliaria de la Villa de Madrid. Bar Chicote.,Calle GRAN VIA 12,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,145.4169025971257
186,Viviendas para la Sociedad Inmobiliaria de Madrid,Calle GRAN VIA 14,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,122.94292474243662
187,Viviendas para Luis Ocharán Mazas,Calle CABALLERO DE GRACIA 21,28 - Sevilla,Calle Alcalá nº 27,109.9415708888054
188,Viviendas para Luis y Manuel Mitjans,Calle CABALLERO DE GRACIA 13,28 - Sevilla,Calle Alcalá nº 27,152.01972501142822
189,Viviendas para María Monasterio Arrillaga,Calle GRAN VIA 36,2 - Miguel Moya,Calle Miguel Moya nº 1,166.940707512287
190,Viviendas para Seguros La Estrella,Calle GRAN VIA 20,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,85.77134732103265
191,Viviendas para Seguros La Estrella,Calle GRAN VIA 20,28 - Sevilla,Calle Alcalá nº 27,171.12574170667634
192,Viviendas para Seguros La Estrella,Calle GRAN VIA 10,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,85.77134732103265
193,Viviendas para Seguros La Estrella,Calle GRAN VIA 10,28 - Sevilla,Calle Alcalá nº 27,171.12574170667634
194,Viviendas para Tomás Allende,Calle CABALLERO DE GRACIA 1,211 - Desengaño,Calle Desengaño nº 1,161.6683355628262
195,Viviendas y comercios para Francisco Escriña,Calle GRAN VIA 71,116b - Plaza de España B,Calle Princesa nº 5,87.05753787268947
196,Viviendas y oficinas,Calle GRAN VIA 51,23 - Santo Domingo,Plaza de Santo Domingo nº 1,99.61371134130916
197,Viviendas y oficinas,Calle GRAN VIA 51,116b - Plaza de España B,Calle Princesa nº 5,31.181633105688334
198,Viviendas y oficinas,Calle GRAN VIA 51,23 - Santo Domingo,Plaza de Santo Domingo nº 1,102.94903738340366
199,Viviendas y oficinas,Calle GRAN VIA 51,16 - San Bernardo,Calle San Bernardo nº 22,138.96717713344114
200,Viviendas y oficinas,Calle GRAN VIA 80,23 - Santo Domingo,Plaza de Santo Domingo nº 1,99.61371134130916
201,Viviendas y oficinas,Calle GRAN VIA 80,116b - Plaza de España B,Calle Princesa nº 5,31.181633105688334
202,Viviendas y oficinas,Calle GRAN VIA 80,23 - Santo Domingo,Plaza de Santo Domingo nº 1,102.94903738340366
203,Viviendas y oficinas,Calle GRAN VIA 80,16 - San Bernardo,Calle San Bernardo nº 22,138.96717713344114
204,Viviendas y oficinas,Calle GRAN VIA 45,23 - Santo Domingo,Plaza de Santo Domingo nº 1,99.61371134130916
205,Viviendas y oficinas,Calle GRAN VIA 45,116b - Plaza de España B,Calle Princesa nº 5,31.181633105688334
206,Viviendas y oficinas,Calle GRAN VIA 45,23 - Santo Domingo,Plaza de Santo Domingo nº 1,102.94903738340366
207,Viviendas y oficinas,Calle GRAN VIA 45,16 - San Bernardo,Calle San Bernardo nº 22,138.96717713344114
208,Viviendas y oficinas,Calle GRAN VIA 60,23 - Santo Domingo,Plaza de Santo Domingo nº 1,99.61371134130916
209,Viviendas y oficinas,Calle GRAN VIA 60,116b - Plaza de España B,Calle Princesa nº 5,31.181633105688334
210,Viviendas y oficinas,Calle GRAN VIA 60,23 - Santo Domingo,Plaza de Santo Domingo nº 1,102.94903738340366
211,Viviendas y oficinas,Calle GRAN VIA 60,16 - San Bernardo,Calle San Bernardo nº 22,138.96717713344114
212,Viviendas y oficinas para el vizconde de Escoriaza,Calle GRAN VIA 22B,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,108.7625285539447
213,Viviendas y oficinas para Hilario Ruiz,Calle DOCTOR CARRACIDO ,116b - Plaza de España B,Calle Princesa nº 5,122.92221294734415
214,Viviendas y oficinas para Jesús de Murga,Calle FUENCARRAL 2,211 - Desengaño,Calle Desengaño nº 1,121.04234918171231
215,Viviendas y oficinas para Jesús Ussia y Cubas y Cine Azul,Calle GENERAL MITRE ,116b - Plaza de España B,Calle Princesa nº 5,71.48648148971989
216,Viviendas y oficinas para José María Cano,Calle GRAN VIA 42,2 - Miguel Moya,Calle Miguel Moya nº 1,73.20857728027212
217,Viviendas y oficinas para José María de Antonio Becerril,Calle GRAN VIA 8,28 - Sevilla,Calle Alcalá nº 27,162.50241695246038
218,Viviendas y oficinas para José Pérez Pla,Calle GRAN VIA 64,16 - San Bernardo,Calle San Bernardo nº 22,146.63856794411885
219,Viviendas y oficinas para Juan Miralles Sesé,Calle FLOR BAJA 2,116b - Plaza de España B,Calle Princesa nº 5,184.70658283569844
220,Viviendas y oficinas para la Constructora Calpense,Calle CHINCHILLA ,210 - Tres Cruces,Calle Tres Cruces nº 7,74.18094561965017
221,Viviendas y oficinas para Leopoldo García,Calle GRAN VIA 49,23 - Santo Domingo,Plaza de Santo Domingo nº 1,96.42089799304637
222,Viviendas y oficinas para Rafael Calabuig,Calle GRAN VIA 58,16 - San Bernardo,Calle San Bernardo nº 22,140.49871014569732
223,Viviendas y oficinas para Ramón Saiz de Carlos,Calle GRAN VIA 33,2 - Miguel Moya,Calle Miguel Moya nº 1,185.67607724976048
224,Viviendas y oficinas para Santos Suárez y Compañía,Calle GRAN VIA 47,23 - Santo Domingo,Plaza de Santo Domingo nº 1,91.25230338110842
225,Viviendas y oficinas para Seguros La Estrella,Calle CABALLERO DE GRACIA 15,28 - Sevilla,Calle Alcalá nº 27,133.39350999440458
226,Viviendas y teatro Fontalba para el marqués de Cubas y Fontalba,Calle DESENGAÑO 3,211 - Desengaño,Calle Desengaño nº 1,31.74874238584515
227,Zoo Aquarium de Madrid,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,224 - Caramuel,Calle Caramuel nº 51,3673.6864570461853
